input,target,prediction,pred_length,valid,tanimoto
NC(=N)C#N,NC(=N)C#N,NC(=N)N(C#N)C#N,15,True,0.4444444444444444
NC(=N)C=O,NC(=N)C=O,NC(=N)NC(=O)CC(=O)C=N,21,True,0.2692307692307692
NCC(=O)O,[NH3+]CC([O-])=O,NC(=N)C(O)COC(O)=O,18,True,0.13793103448275862
[NH][C@@H]1NC=CO1,N=C1NC=CO1,N=C1N=CN1CC=O,13,True,0.11764705882352941
[NH][C@@H]1OC=CO1,N=C1OC=CO1,N=C1OC=C(O1)C=O1,16,False,
NC(=N)NC=O,NC(=N)NC=O,NC(=N)NC(=O)NC=N1,17,False,
CNCC(=O)O,C[NH2+]CC([O-])=O,NC(C[NH2+]CCC([O-])=O)C(O)=O,28,True,0.25
NC(=N)C(=O)C,CC(=O)C(N)=N,NC(=N)C(=O)C(C)C(N)=O,21,True,0.42857142857142855
C[C@H](C(=O)O)N,CC([NH3+])C([O-])=O,CC([NH3+])C(C(O)C([O-])=O,25,False,
[NH][C@H]1NC=NO1,N=C1NC=NO1,N=C1NN=C(O)=N1,14,False,
[NH][C@@H]1NN=NN1,N=C1NN=NN1,N=C1NN=NNN1,11,True,0.22727272727272727
[NH][C@@H]1ON=CO1,N=C1OC=NO1,N=C1ON=C(O1)N1C=O,17,False,
[NH][C@@H]1ON=NO1,N=C1ON=NO1,N=C1NON=N1C=O,13,False,
CC1=CN[C@@H](O1)[NH],CC1=CNC(=N)O1,CC1CN1C(=N)OC=C1=N,18,False,
CC1=CO[C@@H](N1)[NH],CC1=COC(=N)N1,CC1CN1C(=N)OC=C1=N,18,False,
CC1=CO[C@H](O1)[NH],CC1=COC(=N)O1,N=C1OC=C(O1)C=CO1,17,False,
[NH][C@@H]1NC=C(O1)N,NC1=CNC(=N)O1,NC1=C(N)N=COC1=N,16,True,0.22580645161290322
[NH][C@@H]1OC=C(O1)N,NC1=COC(=N)O1,N=C1NC(=O)OC(=N)O1,18,True,0.20689655172413793
[NH][C@H]1NC=C(O1)O,OC1=CNC(=N)O1,N=C1NC(=O)OC=C1CO,17,True,0.2
[NH][C@H]1NC(=CO1)O,OC1=COC(=N)N1,N=C1NC(=O)OC=C1CO,17,True,0.3125
[NH][C@H]1OC(=CO1)O,OC1=COC(=N)O1,N=C1OC(=O)OC=C1O,16,True,0.37037037037037035
[NH]C1=CCOC=N1,N=C1C=COC=N1,N=C1N=C=CN1C=CO,15,True,0.16666666666666666
[NH]C1=NCNC=N1,N=C1N=CNC=N1,N=C1NN=CNC=C1=N,15,False,
[NH][C@@H]1N=COC=N1,N=C1N=COC=N1,N=C1N=CNC(=O)=N1,16,False,
[NH]C1=NC=NCN1,N=C1NC=NC=N1,N=C1NN=CNC=C1=N,15,False,
CN1C=CO[C@@H]1[NH],CN1C=COC1=N,N=C1NC=C(CC1)O1,15,False,
OC(=O)C(N)(C)C,CC(C)([NH3+])C([O-])=O,CC(C)(C)([NH3+])(C)(C)([O-])=O,30,False,
NC(=N)NC(=O)C,CC(=O)NC(N)=N,NC(=N)C(=O)C(N)C(N)=N,21,True,0.2692307692307692
[CH2]C(=[NH2])N.O=C=O,NC(=[NH2+])CC([O-])=O,NC(=[NH2+])C(C([O-])=O)C=O,26,True,0.34615384615384615
C[C@H](CC(=O)O)N,CC([NH3+])CC([O-])=O,CC(C)C([NH3+])C([O-])=O,23,True,0.43478260869565216
CN(CC(=O)O)C,C[NH+](C)CC([O-])=O,CC(C)([NH3+])CC([O-])=O,23,True,0.3333333333333333
NC=NCC(=O)O,[O-]C(=O)CNC=[NH2+],NC(=N)NC(=O)CCOC=O,18,True,0.15789473684210525
NC=NCC(=O)O,NC=[NH+]CC([O-])=O,NC(=N)NC(=O)CCOC=O,18,True,0.15789473684210525
NCC#CC(=O)O,[NH3+]CC#CC([O-])=O,NC(C#C)([NH2+])C#CCC([O-])=O,28,True,0.22857142857142856
CCNCC(=O)O,CC[NH2+]CC([O-])=O,C[NH2+]CCC(CO)C([O-])=O,23,True,0.25
CNCCC(=O)O,C[NH2+]CCC([O-])=O,C[NH2+]CCC(CO)C([O-])=O,23,True,0.42857142857142855
NCCCC(=O)O,[NH3+]CCCC([O-])=O,C[NH2+]CCC(CO)C([O-])=O,23,True,0.18181818181818182
NC(=N)C(=O)C#C,NC(=N)C(=O)C#C,NC(=N)C(=O)C(C#N)C#C,20,True,0.39285714285714285
NC(=N)C(=O)C#N,NC(=N)C(=O)C#N,NC(=N)C(=O)C(N)C#N)C#N,22,False,
NC(=N)C(=O)C=O,NC(=N)C(=O)C=O,NC(=N)C(=O)C(=O)C(N)C=O,23,True,0.38461538461538464
NC(=N)[C@H](C#N)O,NC(=N)C(O)C#N,NC(=N)C(=O)C#N,14,True,0.3333333333333333
N[C@H](C(=O)O)C#C,[NH3+]C(C#C)C([O-])=O,CC([NH3+])C(C#C)C([O-])=O,25,True,0.5833333333333334
CN(C(=N)N)C=O,CN(C=O)C(N)=N,NC(=N)C(=O)C(N)C(N)=N,21,True,0.21428571428571427
CCC(=O)C(=N)N,CCC(=O)C(N)=N,CCC(N)(C(=O)C(N)=N)CC(N)=O,26,True,0.3793103448275862
COC(=O)C(=N)N,COC(=O)C(N)=N,NC(=N)C(=O)C(N)C(O)C=O,22,True,0.26666666666666666
NC(=N)C(=O)CO,NC(=N)C(=O)CO,NC(=N)C(=O)C(N)C(O)C=O,22,True,0.27586206896551724
CC[C@H](C(=O)O)N,CCC([NH3+])C([O-])=O,CC(C)C([NH3+])C([O-])=O,23,True,0.43478260869565216
C[C@@H](C(=O)O)NC,C[NH2+]C(C)C([O-])=O,CC([NH3+])C(C)C([O-])=O,23,True,0.391304347826087
OC[C@@H](C(=O)O)N,[NH3+]C(CO)C([O-])=O,[NH3+]C(CO)C(O)C([O-])=O,24,True,0.5217391304347826
N[C@H](C(=O)O)CN,NC(C[NH3+])C([O-])=O,CC(N)C([NH3+])C([O-])=O,23,True,0.4166666666666667
NC[C@H](C(=O)O)O,[NH3+]CC(O)C([O-])=O,CC([NH3+])C(O)C([O-])=O,23,True,0.391304347826087
OC(=O)C1(N)CC1,[NH3+]C1(CC1)C([O-])=O,NC1(C([NH3+])C1)C([O-])=O,25,True,0.36
OC(=O)C[C@H]1CN1,[O-]C(=O)CC1C[NH2+]1,NC1C([NH2+]C1C1C([O-])=O,24,False,
OC(=O)[C@H]1CCN1,[O-]C(=O)C1CC[NH2+]1,NC1C([NH2+]C1C1C([O-])=O,24,False,
OC(=O)C1CNC1,[O-]C(=O)C1C[NH2+]C1,NC1(C[NH2+]C1)C([O-])=OC1,25,False,
N[C@H]1C[C@H]1C(=O)O,[NH3+]C1CC1C([O-])=O,[NH3+]C1CC1C([O-])=O,20,True,1.0
CC1=NO[C@@H](O1)[NH],CC1=NOC(=N)O1,N=C1NC(=O)OC(=N)O1,18,True,0.20689655172413793
CN1C=NO[C@@H]1[NH],CN1C=NOC1=N,N=C1NN=C(CC1)=O,15,False,
CN1[C@H]([NH])OC=N1,CN1N=COC1=N,N=C1NC(=N)N=CO1,15,True,0.26666666666666666
CN1N=NN[C@H]1[NH],CN1N=NNC1=N,N=C1NN=NNC1=N,13,True,0.3181818181818182
CN1N=NO[C@@H]1[NH],CN1N=NOC1=N,N=C1NN=NOC1=N,13,True,0.2413793103448276
[NH]C1=NCNN=C1,N=C1C=NNC=N1,N=C1NN=CNC=C1=N,15,False,
[NH][C][N]C=O.N#N,N=C1N=CON=N1,N=C1N=NON=N1,12,True,0.4090909090909091
[NH]C1NCCNN1,N=C1NN=CC=N1,N=C1NN=CN1C=N,13,True,0.26666666666666666
[NH][C@@H]1ON=C(N1)N,NC1=NOC(=N)N1,NC1=NNC(=N)N1C(=N)O,19,True,0.20588235294117646
[NH][C@H]1ON=C(O1)N,NC1=NOC(=N)O1,N=C1NC(=N)O1C(=N)O,18,False,
NCc1nnn[nH]1,[NH3+]CC1=N[N-]N=N1,N=C1NN=NNC2=C1,14,False,
[O][C][CH]C=O.N#N,O=C1C=CON=N1,N=C1ON=C=CO1,12,True,0.12121212121212122
O=CN=C=O.N#N,O=C1N=CON=N1,N=C1N=NOC(=O)N=NO1,18,True,0.15625
[NH][C@@H]1NC(=NN1)O,OC1=NNC(=N)N1,NC1=NNC(=N)N1C(=N)O,19,True,0.25
[NH][C@@H]1OC(=NO1)O,OC1=NOC(=N)O1,N=C1ON=C(O1)C(=N)O1,19,False,
CNC[C](C=O)N[O],C[NH2+]CC(C=O)=N[O-],CCC1=C(O)N=NOC1=N,17,True,0.07142857142857142
NC(=N)C(F)(F)F,NC(=N)C(F)(F)F,NC(=N)C(F)(F)(F)(N)(C)(F)(F)(F)(F))(F,37,False,
[NH][C@@H]1OCC=C(N1)[NH],N=C1NC(=N)C=CO1,CN1C=C(=N)NC1=O,15,False,
[NH][C@H]1OC=N[C@@H](N1)[NH],N=C1NC(=N)N=CO1,N=C1NC(=N)N=CO1,15,True,1.0
C[C@@H]1NC=NC(=N1)[NH],CC1=NC(=N)N=CN1,CN1N=CNC(=N)C1=N,16,True,0.28125
CC1=N[C@@H](N=CO1)[NH],CC1=NC(=N)N=CO1,N=C1N=C(C=N1)C(O)=C,19,True,0.1388888888888889
N[C@H]1OC=CC(=N1)[NH],NC1=NC(=N)C=CO1,N=C1N=C(C=N1)C(O)=CN1,21,False,
N[C@H]1N=CN=C(N1)[NH],NC1=[NH+]C(=N)N=C[N-]1,N=C1NN=C(N)N=C1,15,True,0.24242424242424243
N[C@H]1OC=NC(=N1)[NH],NC1=NC(=N)N=CO1,N=C1N=NC(C=O)N1,15,True,0.10810810810810811
[NH]C1=N[C@H](NC=C1)O,OC1=NC(=N)C=CN1,N=C1N=C(C=N1)C(O)=CN1,21,False,
OC1=NC(=CCO1)[NH],OC1=NC(=N)C=CO1,N=C1N=C(OC=N1)C=O,17,True,0.2647058823529412
[NH]C1=N[C@@H](O)NC=N1,OC1=NC(=N)N=CN1,N=C1N=NC(C=O)N1,15,True,0.1388888888888889
[NH][C@@H]1N=C(O)OC=N1,OC1=NC(=N)N=CO1,N=C1N=C(O)N=CO1,15,True,0.48148148148148145
C[C@@H]1N=C([NH])NC=N1,CC1=NC(=N)NC=N1,CN1N=CNC(=N)C1=N,16,True,0.28125
[NH]C1=NC(=NCN1)O,OC1=NC(=N)NC=N1,NC1=NC(=N)N=C(O)N1,18,True,0.25
[NH]C1=CCN=C(O1)C,CC1=NC=CC(=N)O1,N=C1N=C(C=C=O1)C=C1,19,False,
C[C@H]1N=CN=C(N1)[NH],CC1=NC=NC(=N)N1,N=C1N=CNC(C)=N1,15,True,0.3448275862068966
C[C@@H]1N=CN=C(O1)[NH],CC1=NC=NC(=N)O1,N=C1N=C(C=N1)C(O)=C,19,True,0.14285714285714285
[NH]C1=CCN=C(N1)O,OC1=NC=CC(=N)N1,N=C1N=C(C=N1)C=O,16,True,0.14285714285714285
[NH]C1=CCN=C(O1)O,OC1=NC=CC(=N)O1,N=C1N=C(OC=N1)C=O,17,True,0.22857142857142856
O=C=[N]=C[N]C(=O)O,OC1=NC=NC(=O)O1,N=C1ON=C2=C(O1)C=O,18,False,
[NH][C@H]1OC(=C(N1)C)C,CC1=C(C)OC(=N)N1,CC1CC(=N)NC(=C)O1,17,True,0.17647058823529413
[NH][C@@H]1OC(=C(O1)C)C,CC1=C(C)OC(=N)O1,CC1C([NH3+])C1C([O-])=O,23,True,0.03571428571428571
[NH][C@@H]1NC(=C(O1)N)C,CC1=C(N)OC(=N)N1,CC1=NC(=N)NC(O)=C1,18,True,0.20588235294117646
[NH][C@@H]1OC(=C(O1)C)N,CC1=C(N)OC(=N)O1,CC1C(N1C([NH3+])C([O-])=O,25,False,
[NH][C@@H]1NC(=C(O1)C)O,CC1=C(O)NC(=N)O1,CC1C(N1C([NH3+])C([O-])=O,25,False,
[NH][C@@H]1OC(=C(O1)C)O,CC1=C(O)OC(=N)O1,[NH3+]C1(CC1O)C([O-])=O,23,True,0.029411764705882353
[NH][C@@H]1OC(=C(N1)N)N,NC1=C(N)OC(=N)N1,NC1=NC(=N)NC(O)=N1,18,True,0.23333333333333334
[NH][C@@H]1OC(=C(O1)N)N,NC1=C(N)OC(=N)O1,NC1=C(N)OC(=N)N1,16,True,0.38095238095238093
[NH][C@@H]1NC(=C(O1)O)N,NC1=C(O)OC(=N)N1,NC1=C(N)OC(=N)N1,16,True,0.5652173913043478
[NH][C@@H]1OC(=C(O1)N)O,NC1=C(O)OC(=N)O1,NC1=C(O)OC(=N)O1,16,True,1.0
CC1=CN([C@H](O1)[NH])C,CN1C=C(C)OC1=N,CC1CC(=N)NC(=C)O1,17,True,0.13513513513513514
NC1=CN([C@@H](O1)[NH])C,CN1C=C(N)OC1=N,CC1=NC(=N)NC(O)=C1,18,True,0.13513513513513514
CN1C=C(O[C@H]1[NH])O,CN1C=C(O)OC1=N,N=C1NC(C=O)C1CO,15,True,0.10256410256410256
[NH]C1=CC=C(CO1)N,NC1=COC(=N)C=C1,N=C1N=C(C=C=O1)C=C1,19,False,
[NH]C1=CN=C(CN1)O,OC1=CNC(=N)C=N1,N=C1N=C(C=N1)C=O,16,True,0.14285714285714285
CN1CN=C(N=C1)[NH],CN1C=NC(=N)N=C1,NC1=NC(=N)N=CNC1=C,18,True,0.14285714285714285
[NH][C@H]1NC(=CO1)C#C,N=C1NC(=CO1)C#C,N=C1NC(=CO1)C#C,15,True,1.0
[NH][C@@H]1NC=C(O1)C#C,N=C1NC=C(O1)C#C,N=C1NC(=C#C)O1C,15,False,
[NH][C@@H]1NC=C(O1)C#N,N=C1NC=C(O1)C#N,N=C1NC(=N1)C#C,14,True,0.15151515151515152
[NH][C@@H]1OC(=CO1)C#C,N=C1OC=C(O1)C#C,N=C1OC=C(O1)C#C,15,True,1.0
[NH][C@@H]1OC(=CO1)C#N,N=C1OC=C(O1)C#N,N=C1ON=C(O1)C#C,15,True,0.21212121212121213
[NH][C@@H]1NC=C(O1)C=O,N=C1NC=C(O1)C=O,N=C1N=C(O1)C=CO,15,True,0.14285714285714285
[NH][C@@H]1OC(=CO1)C=O,N=C1OC=C(O1)C=O,N=C1OC=C(O1)C=O,15,True,1.0
O=C1[CH]OC(=C)[CH]1.N,[NH3+]CC1=CC([O-])=CO1,CC1=C(O)C(=CO)OC1=N,19,True,0.05
C=C1C=CC(=O)O1.N,[NH3+]CC1=CC=C([O-])O1,[NH3+]CC1=CC([O-])C(=O)O1,25,True,0.23529411764705882
C=C1C=NC(=O)O1.N,[NH3+]CC1=CN=C([O-])O1,NC1=C(C[NH3+])C([O-])=C(=O)O1,29,False,
CCC1=CN[C@H](O1)[NH],CCC1=CNC(=N)O1,CC1CC1=C(N)OC(=N)N1,19,False,
CCC1=CO[C@H](N1)[NH],CCC1=COC(=N)N1,CC1CC1=C(N)OC(=N)N1,19,False,
CCC1=CO[C@H](O1)[NH],CCC1=COC(=N)O1,CC1CC1C([NH2+]C1)C([O-])=O,26,False,
CNC1=CN[C@@H](O1)[NH],CNC1=CNC(=N)O1,CN1C=NC(=N)OC1=N,16,True,0.2
CNC1=CO[C@@H](O1)[NH],CNC1=COC(=N)O1,N=C1NC(C=O)C1CO,15,True,0.075
COC1=CN[C@@H](O1)[NH],COC1=CNC(=N)O1,N=C1NC(C=O)C1CO,15,True,0.1
COC1=CO[C@H](N1)[NH],COC1=COC(=N)N1,N=C1NC(C=O)C1CO,15,True,0.1
COC1=CO[C@H](O1)[NH],COC1=COC(=N)O1,N=C1OC(O1)C=COC(=O)O1,21,False,
[NH][C@@H]1NC=C(O1)CO,OCC1=CNC(=N)O1,N=C1NC(C=O)C1CO,15,True,0.1891891891891892
[NH][C@@H]1NC(=CO1)CO,OCC1=COC(=N)N1,N=C1NC(C=O)C1CO,15,True,0.1891891891891892
[NH][C@H]1OC(=CO1)CO,OCC1=COC(=N)O1,N=C1OC(O1)C=COC(=O)O1,21,False,
NCC1=COC(=O)C1,[NH3+]CC1=COC([O-])=C1,NC1=C(OC=C(O)O1)CC=CC1,22,False,
NCc1coc(=O)[nH]1,[NH3+]CC1=COC([O-])=N1,N=C1NC=C(O1)C=CO1,17,False,
CC1=C([NH])OC=NC1,CC1=CN=COC1=N,N=C1N=C(C=C=O1)C=C1,19,False,
[NH]C1=C(N)CC=CO1,NC1=CC=COC1=N,N=C1N=C(C=C=O1)C=C1,19,False,
[NH]C1=C(N)CN=CO1,NC1=CN=COC1=N,N=C1N=C(C=N1)C=O,16,True,0.14285714285714285
OC1=C([NH])OC=CC1,OC1=CC=COC1=N,N=C1OC=C(C=O)C=C1,17,True,0.21212121212121213
OC1=C([NH])NC=NC1,OC1=CN=CNC1=N,N=C1N=C(C=N1)C=O,16,True,0.14285714285714285
OC1=C([NH])OC=NC1,OC1=CN=COC1=N,N=C1N=C(OC=N1)C=O,17,True,0.22857142857142856
[NH]C1=C(O)N=CCN1,OC1=NC=CNC1=N,N=C1N=C(C=N1)C=O,16,True,0.14285714285714285
CC1=CNCN=C1[NH],CC1=CNC=NC1=N,N=C1N=CN=CN1C=CC1C2,19,False,
CC1=C([NH])N=COC1,CC1=COC=NC1=N,N=C1N=C(C=C=O1)C=C1,19,False,
[NH]C1=NCNC=C1N,NC1=CNC=NC1=N,N=C1NN=CNC=C1C=N,16,True,0.1891891891891892
OC1=CNCN=C1[NH],OC1=CNC=NC1=N,N=C1N=CN=C(C=O1)C1,18,False,
N[C]1C=CO[CH]C1=O,[O-]C1=COC=CC1=[NH2+],O=C1C=CC2OC=C1N2,16,True,0.07894736842105263
CN1CN=CN=C1[NH],CN1C=NC=NC1=N,N=C1NN=CNC=C1C=N,16,True,0.1282051282051282
CN1[C@H]([NH])OC=C1C,CN1C(=N)OC=C1C,CC1CC1=C(N)OC(=N)N1,19,False,
CN1[C@H]([NH])OC=C1O,CN1C(=N)OC=C1O,N=C1NC(C=O)C1CO,15,True,0.10256410256410256
NC(=N)c1ccco1,NC(=N)C1=CC=CO1,N=C1NC=C(C=N1)C(C=C1)O1,23,True,0.09302325581395349
NC(=N)c1cnco1,NC(=N)C1=CN=CO1,NC1=NC(=N)C(N)=CN1,18,True,0.17142857142857143
NC(=N)c1ncco1,NC(=N)C1=NC=CO1,NC1=NC(=N)C(N)=CN1,18,True,0.21212121212121213
NC(=N)c1cocn1,NC(=N)C1=COC=N1,NC1=NC(=N)C(N)=CN1,18,True,0.17142857142857143
C[N]C1=NCNC=C1,CN=C1C=CNC=N1,N=C1N=CN=CN1C2,14,False,
C[N]C1=NCNC=N1,CN=C1N=CNC=N1,N=C1NN=CN=CN1C2,15,False,
C[N]C1=NC=NCN1,CN=C1NC=NC=N1,N=C1NN=CN=CN1C2,15,False,
C[N]C1=CCC=CO1,CN=C1OC=CC=C1,C1C2C=CC3C1OC=N2,16,False,
[NH][C@@H]1NC=CN1C=O,N=C1NC=CN1C=O,N=C1N=CNC=C(C1)C=O,18,True,0.20512820512820512
[NH][C@@H]1OC=CN1C=O,N=C1OC=CN1C=O,N=C1ON=C=C(O1)C=CO1,19,False,
C=C1OC=CC1=O.N,[NH3+]CC1=C([O-])C=CO1,[O-]C(=O)C1CC=C[NH2+]C1,23,True,0.04878048780487805
NCc1ccoc1O,[NH3+]CC1=C([O-])OC=C1,N=C1OC=C=C(O1)C=C1,18,False,
O=C1OC=NC1=C.N,[NH3+]CC1=C([O-])OC=N1,NC1=C([NH3+])C([O-])=CNO1,25,True,0.16216216216216217
